SGB	num_ref	num_new
SGB459	1	0
SGB458	2	0
SGB161	5	0
SGB160	1	0
SGB163	1	0
SGB162	1	0
SGB165	1	0
SGB164	0	3
SGB167	1	2
SGB166	0	1
SGB169	7	0
SGB168	1	0
SGB248	17	0
SGB249	2	0
SGB240	0	5
SGB241	0	1
SGB242	301	3
SGB243	1	2
SGB244	0	25
SGB245	1	49
SGB246	1	9
SGB247	0	1
SGB557	15	0
SGB567	12	0
SGB566	8	0
SGB424	1	0
SGB425	3	3
SGB426	1	2
SGB427	6	0
SGB389	1	0
SGB421	1	0
SGB422	3	0
SGB423	1	0
SGB385	1	0
SGB384	1	0
SGB387	1	0
SGB386	1	0
SGB381	7	46
SGB380	1	32
SGB383	1	0
SGB382	1	0
SGB019	10	0
SGB018	5	43
SGB549	2	0
SGB548	1	0
SGB015	7	4
SGB014	1	0
SGB017	1	1
SGB016	6	0
SGB011	19	0
SGB010	1	10
SGB013	25	0
SGB012	2	0
SGB569	8	17
SGB568	2	1
SGB491	59	0
SGB490	62	0
SGB493	9	0
SGB492	1	6
SGB495	1	0
SGB494	0	1
SGB497	4	3
SGB496	0	4
SGB499	4	0
SGB498	0	1
SGB330	2	1
SGB331	1	3
SGB332	2	0
SGB333	0	3
SGB334	3	0
SGB335	1	0
SGB336	1	0
SGB337	1	0
SGB338	2	0
SGB339	1	0
SGB503	1	0
SGB050	0	1
SGB501	1	0
SGB078	2	1
SGB532	1	0
SGB052	1	0
SGB533	1	0
SGB055	1	2
SGB530	1	0
SGB112	1	3
SGB506	23	2
SGB531	1	0
SGB057	125	5
SGB536	0	1
SGB056	67	0
SGB537	1	0
SGB534	1	0
SGB027	1	0
SGB208	0	2
SGB209	1	0
SGB204	0	1
SGB205	1	0
SGB206	1	0
SGB207	1	0
SGB200	56	0
SGB201	13	0
SGB202	1	0
SGB203	3	0
SGB293	0	1
SGB292	0	2
SGB523	1	0
SGB051	0	2
SGB502	1	0
SGB053	50	1
SGB500	1	0
SGB507	0	4
SGB054	56	0
SGB505	2	3
SGB504	2	48
SGB059	12	2
SGB058	8	0
SGB509	0	10
SGB508	3	0
SGB118	9	0
SGB119	1	1
SGB291	1	0
SGB290	11	0
SGB297	0	5
SGB296	11	0
SGB295	0	5
SGB294	0	4
SGB110	2	0
SGB111	3	0
SGB299	5	0
SGB298	2	0
SGB114	0	1
SGB115	2	0
SGB116	2	0
SGB117	3	0
SGB113	1	0
SGB598	1825	1
SGB599	125	4
SGB594	1	0
SGB595	2	0
SGB596	15	0
SGB597	509	0
SGB590	5	0
SGB591	16	0
SGB592	1	11
SGB593	21	0
SGB374	3	27
SGB375	0	2
SGB376	2	0
SGB377	0	2
SGB370	1	0
SGB371	11	2
SGB372	0	2
SGB373	21	0
SGB378	0	1
SGB379	0	1
SGB576	2	1
SGB577	3	0
SGB574	9	0
SGB575	2	0
SGB572	10	0
SGB573	2	1
SGB570	8	5
SGB571	11	6
SGB477	1	0
SGB476	2	0
SGB475	1	0
SGB474	2	0
SGB473	3	0
SGB472	1	0
SGB471	1	2
SGB470	3	1
SGB189	0	1
SGB188	7	0
SGB187	1	0
SGB186	1	0
SGB185	3213	4
SGB184	145	0
SGB183	50	0
SGB182	1	6
SGB181	0	1
SGB180	133	1
SGB231	1	0
SGB230	2	0
SGB600	10	74
SGB601	974	18
SGB004	1	0
SGB257	7	0
SGB256	4	7
SGB255	6	0
SGB254	5	0
SGB253	5	0
SGB159	1	0
SGB251	2	0
SGB250	2	4
SGB154	1	0
SGB155	1	0
SGB156	1	0
SGB328	0	5
SGB150	19	0
SGB151	1	0
SGB259	3	0
SGB258	4	0
SGB326	1	0
SGB321	7	0
SGB449	1	0
SGB433	2	0
SGB432	0	1
SGB431	6	0
SGB430	1	9
SGB437	4	0
SGB436	0	2
SGB435	1	14
SGB434	1	0
SGB439	2	0
SGB438	0	2
SGB028	1	0
SGB029	1	0
SGB538	4	0
SGB539	1	0
SGB020	1	71
SGB021	5	1
SGB022	14	0
SGB023	5	0
SGB024	13	0
SGB025	4	0
SGB026	3	0
SGB535	1	0
SGB388	1	0
SGB128	1	0
SGB479	1	0
SGB478	2	0
SGB446	6	0
SGB447	10	2
SGB444	15	4
SGB445	3	0
SGB442	27	0
SGB443	5	1
SGB440	4	0
SGB441	1	2
SGB327	1	0
SGB420	1	18
SGB325	3	0
SGB324	4	0
SGB323	2	0
SGB322	3	0
SGB448	7	0
SGB320	11	0
SGB578	1	4
SGB140	1	0
SGB579	2	0
SGB428	5	0
SGB429	1	0
SGB280	20	0
SGB329	0	1
SGB042	2	0
SGB219	0	1
SGB218	5	0
SGB515	0	1
SGB213	1	0
SGB212	0	1
SGB211	2	0
SGB210	0	1
SGB217	1	0
SGB040	4	1
SGB215	3	0
SGB214	1	0
SGB547	2	0
SGB041	3	2
SGB546	1	0
SGB046	1	2
SGB545	1	0
SGB047	0	1
SGB544	0	1
SGB044	2	0
SGB543	0	1
SGB045	3	1
SGB542	1	2
SGB541	0	1
SGB540	0	1
SGB107	0	3
SGB106	3	0
SGB105	1	0
SGB104	1	0
SGB068	0	1
SGB069	1	0
SGB101	1	0
SGB100	1	0
SGB064	2	0
SGB065	2	0
SGB066	1	11
SGB067	1	0
SGB060	0	7
SGB061	8	116
SGB062	14	3
SGB108	0	1
SGB268	0	3
SGB269	1	0
SGB266	60	450
SGB267	1	0
SGB264	1	0
SGB265	60	16
SGB262	1	0
SGB263	1	0
SGB260	5	0
SGB261	0	2
SGB589	2	0
SGB588	1	3
SGB583	1	0
SGB582	6	0
SGB581	2	0
SGB580	29	0
SGB587	0	1
SGB586	3	3
SGB585	1	0
SGB584	0	1
SGB363	2	0
SGB362	1	0
SGB361	4	0
SGB360	40	0
SGB367	4	0
SGB366	10	0
SGB365	1	0
SGB364	1	0
SGB369	8	1
SGB368	9	0
SGB079	1	0
SGB565	1	0
SGB564	0	3
SGB408	65	1
SGB409	204	3
SGB561	2	0
SGB560	81	3
SGB563	30	0
SGB562	1	22
SGB402	133	0
SGB403	0	2
SGB400	0	1
SGB401	2878	3
SGB406	0	1
SGB407	124	0
SGB404	96	41
SGB405	61	0
SGB121	2	2
SGB120	3	0
SGB071	3	0
SGB070	1	0
SGB316	2	0
SGB317	3	1
SGB314	0	1
SGB315	0	1
SGB312	6	0
SGB313	4	0
SGB310	1	0
SGB311	0	1
SGB318	3	9
SGB319	2	0
SGB086	5	0
SGB087	15	0
SGB084	2	31
SGB085	1	0
SGB082	3	3
SGB083	0	2
SGB080	0	4
SGB081	0	4
SGB088	15	0
SGB089	5	0
SGB006	0	1
SGB220	0	1
SGB221	1	0
SGB007	4	0
SGB271	1	0
SGB141	0	1
SGB222	1	2
SGB223	2	15
SGB149	0	1
SGB148	1	2
SGB226	2	0
SGB227	2	0
SGB224	1	0
SGB225	2	1
SGB143	5	0
SGB142	1	0
SGB228	1	3
SGB229	3	0
SGB147	2	0
