koNew	koOld	perc_ko	vfNew	vfOld	perc_vf
SGB19-MERGED-SGB450-MERGED-SGB685	482	1158	29.390243902439	105	259	28.8461538461538
SGB163	845	1883	30.975073313783	184	679	21.3209733487833
SGB162	25	810	2.9940119760479	7	186	3.62694300518135
SGB168	303	1270	19.262555626192	109	325	25.1152073732719
SGB249	261	1164	18.3157894736842	65	281	18.7861271676301
SGB240	107	1446	6.88989053444945	24	281	7.86885245901639
SGB242	4	1393	0.286327845382963	3	370	0.804289544235925
SGB243	46	1343	3.3117350611951	15	316	4.53172205438066
SGB420	345	650	34.6733668341709	92	156	37.0967741935484
SGB384	151	1128	11.8060985144644	22	265	7.66550522648084
SGB381	127	1479	7.90784557907846	31	333	8.51648351648352
SGB383	94	999	8.60018298261665	27	245	9.92647058823529
SGB52	20	1871	1.05764145954521	12	570	2.06185567010309
SGB50	140	1091	11.3728675873274	36	228	13.6363636363636
SGB56	62	4845	1.26350112084777	38	1680	2.21187427240978
SGB58	55	1738	3.06748466257669	6	328	1.79640718562874
SGB59	512	4766	9.7006441834028	156	1661	8.58558062740781
SGB493	38	982	3.72549019607843	17	211	7.45614035087719
SGB334	451	757	37.3344370860927	119	185	39.1447368421053
SGB339	266	516	34.0153452685422	97	164	37.1647509578544
SGB110-MERGED-SGB577	66	1495	4.22805893657912	47	443	9.59183673469388
SGB200	21	1192	1.73124484748557	14	268	4.9645390070922
SGB118	573	2035	21.9708588957055	88	419	17.3570019723866
SGB112	88	3048	2.80612244897959	42	1066	3.79061371841155
SGB113	31	861	3.47533632286996	1	71	1.38888888888889
SGB298	444	551	44.6231155778895	105	138	43.2098765432099
SGB610	266	1099	19.4871794871795	75	277	21.3068181818182
SGB127-MERGED-SGB78	419	1761	19.2201834862385	162	511	24.0713224368499
SGB595	359	1187	23.2212160413972	97	243	28.5294117647059
SGB371	517	772	40.1086113266098	128	171	42.809364548495
SGB379	298	789	27.4149034038638	76	181	29.5719844357977
SGB573	54	1118	4.60750853242321	14	273	4.8780487804878
SGB185	152	591	20.4576043068641	43	272	13.6507936507937
SGB23	77	2793	2.68292682926829	28	1541	1.78457616316125
SGB22	55	4481	1.21252204585538	10	1887	0.527148128624143
SGB24	19	3305	0.571600481347774	5	2073	0.240615976900866
SGB251	130	1078	10.7615894039735	27	247	9.85401459854015
SGB250	186	1074	14.7619047619048	50	277	15.2905198776758
SGB155	145	803	15.295358649789	13	70	15.6626506024096
SGB156	32	1216	2.56410256410256	13	320	3.9039039039039
SGB430	20	981	1.998001998002	7	216	3.1390134529148
SGB539	166	1026	13.9261744966443	58	241	19.3979933110368
SGB207-MERGED-SGB548	231	1586	12.7132636213539	61	354	14.6987951807229
SGB536	111	1257	8.1140350877193	22	309	6.64652567975831
SGB63	126	270	31.8181818181818	57	130	30.4812834224599
SGB87	130	4744	2.66721378744358	17	1382	1.21515368120086
SGB86	27	292	8.46394984326019	11	69	13.75
SGB80	7	1654	0.421432871763998	10	356	2.73224043715847
SGB82	66	842	7.26872246696035	18	217	7.65957446808511
SGB328	25	1191	2.05592105263158	9	295	2.96052631578947
SGB547-MERGED-SGB66	644	903	41.6289592760181	159	204	43.801652892562
SGB213-MERGED-SGB29-MERGED-SGB85	1541	2550	37.6680518210706	487	567	46.2049335863378
SGB219	70	2064	3.28022492970947	20	633	3.06278713629403
SGB211	980	2550	27.7620396600567	251	648	27.9199110122358
SGB216	401	1334	23.1123919308357	104	301	25.679012345679
SGB154-MERGED-SGB94	1455	3369	30.1616915422886	331	960	25.6390395042603
SGB106	12	3930	0.30441400304414	3	1381	0.216763005780347
SGB653-MERGED-SGB75	620	1432	30.2144249512671	303	422	41.7931034482759
SGB365	59	1043	5.35390199637024	26	251	9.38628158844765
SGB120	195	866	18.3788878416588	68	187	26.6666666666667
SGB13-MERGED-SGB172	438	4758	8.42956120092379	162	1921	7.77724435909746
SGB221	76	1836	3.97489539748954	16	520	2.98507462686567
SGB227	123	2037	5.69444444444444	22	579	3.66056572379368
SGB142	111	925	10.7142857142857	47	221	17.5373134328358
SGB505-MERGED-SGB625-MERGED-SGB98	446	1978	18.3993399339934	195	559	25.8620689655172
SGB528	39	1306	2.8996282527881	11	323	3.2934131736527
SGB139	99	1226	7.47169811320755	27	301	8.23170731707317
SGB4	100	1461	6.40614990390775	35	371	8.62068965517241
SGB7	210	974	17.7364864864865	65	203	24.2537313432836
SGB3	3	7205	0.0416204217536071	1	2637	0.0379075056861259
SGB570	57	913	5.87628865979381	18	212	7.82608695652174
SGB71	332	1594	17.2377985462098	98	316	23.6714975845411
SGB76	4	2126	0.187793427230047	2	628	0.317460317460317
SGB77	13	3041	0.425671250818599	5	950	0.523560209424084
SGB95	105	1771	5.59701492537313	14	431	3.14606741573034
SGB91	155	969	13.7900355871886	46	273	14.4200626959248
SGB551-MERGED-SGB623-MERGED-SGB693-MERGED-SGB84	133	2666	4.75169703465523	36	651	5.24017467248908
SGB455	23	811	2.75779376498801	5	194	2.51256281407035
SGB353	506	809	38.4790874524715	104	180	36.6197183098592
SGB355	68	523	11.5059221658206	21	135	13.4615384615385
SGB271-MERGED-SGB361	75	1300	5.45454545454545	26	350	6.91489361702128
SGB238-MERGED-SGB660	123	318	27.891156462585	32	60	34.7826086956522
SGB419	13	686	1.85979971387697	5	290	1.69491525423729
SGB171	552	694	44.3017656500803	99	178	35.7400722021661
SGB177	90	2578	3.37331334332834	39	920	4.0667361835245
SGB175	812	1463	35.6923076923077	216	334	39.2727272727273
SGB141-MERGED-SGB542	287	2659	9.74202308214528	72	772	8.53080568720379
SGB276	97	1550	5.88949605343048	28	434	6.06060606060606
SGB237-MERGED-SGB83	223	1765	11.2173038229376	27	314	7.91788856304985
SGB115-MERGED-SGB169-MERGED-SGB170-MERGED-SGB589	693	1460	32.1876451463075	81	487	14.2605633802817
SGB104-MERGED-SGB193-MERGED-SGB273-MERGED-SGB481	197	2077	8.66314863676341	256	360	41.5584415584416
SGB392	88	956	8.42911877394636	87	530	14.1004862236629
SGB418	71	599	10.5970149253731	30	205	12.7659574468085
SGB26-MERGED-SGB655	175	4027	4.16468348405521	23	137	14.375
SGB43	393	7753	4.82445371961699	54	1186	4.35483870967742
SGB45	19	2053	0.916988416988417	76	2666	2.77169948942378
SGB49	28	1179	2.31980115990058	9	523	1.69172932330827
SGB486	644	645	49.9612102404965	20	258	7.19424460431655
SGB194-MERGED-SGB472	17	1778	0.947075208913649	130	182	41.6666666666667
SGB305	326	1522	17.6406926406926	6	450	1.31578947368421
