SGB443	Acinetobacter_gyllenbergii	Acinetobacter_gyllenbergii	5	s__Acinetobacter gyllenbergii	s__Acinetobacter_gyllenbergii-t__SGB10363						
SGB167	Acinetobacter_johnsonii	Acinetobacter_johnsonii	25	s__Acinetobacter johnsonii	s__Acinetobacter_johnsonii-t__SGB10398						
SGB457	Actinobaculum_massiliense	Actinobaculum_massiliense	2	s__Actinobaculum massiliense	s__Actinobaculum_massiliense-t__SGB17172						
SGB474	Actinomyces_bovis	Actinomyces_israelii	1	s__Actinomyces bovis	s__Actinomyces_bovis-t__SGB23988						
SGB397	Actinomyces_graevenitzii	Actinomyces_graevenitzii	3	s__Actinomyces graevenitzii	s__Actinomyces_graevenitzii-t__SGB17130						
SGB416	Actinomyces_israelii	Actinomyces_israelii	1	s__Actinomyces israelii	s__Actinomyces_israelii-t__SGB15875						
SGB486	Actinomyces_urogenitalis	Actinomyces_urogenitalis	4	s__Actinomyces urogenitalis	s__Actinomyces_urogenitalis-t__SGB15868						
SGB282	Actinomyces_viscosus	Actinomyces_viscosus	2	GTDB-new	s__Actinomyces_viscosus-t__SGB33751						
SGB532	Actinomyces_viscosus	Actinomyces_viscosus	1	s__Actinomyces viscosus	s__Actinomyces_oris-t__SGB15878						
SGB20	Actinotignum_sanguinis	Actinotignum_sanguinis	1	GTDB-new	s__Actinotignum_sanguinis-t__SGB33732						
SGB299	Actinotignum_schaalii	Actinotignum_schaalii	1	s__Actinotignum schaalii_A	s__Actinotignum_schaalii-t__SGB17175						
SGB462	Actinotignum_schaalii	Actinotignum_schaalii	2	s__Actinotignum schaalii	s__Actinotignum_timonense-t__SGB17174						
SGB592-MERGED-SGB93	Aerococcus_christensenii	Aerococcus_christensenii	4	s__Aerococcus christensenii	s__Aerococcus_christensenii-t__SGB7881						
SGB664	Aerococcus_sanguinicola	Aerococcus_sanguinicola	2	s__Aerococcus sanguinicola	s__Aerococcus_sanguinicola-t__SGB7895						
SGB540	Aerococcus_urinae	Aerococcus_urinae	1	s__Aerococcus urinae_A	s__Aerococcus_urinae-t__SGB7892						
SGB440-MERGED-SGB8	Aerococcus_urinae	Aerococcus_urinae	25	s__Aerococcus urinae_D	s__Aerococcus_urinae-t__SGB7892						
SGB442	Aerococcus_urinae	Aerococcus_urinae	5	s__Aerococcus urinae	s__Aerococcus_urinae-t__SGB7890						
SGB484	Aerococcus_urinaeequi	Aerococcus_urinae	4	s__Aerococcus urinaeequi	s__Aerococcus_urinaeequi-t__SGB7897						
SGB611	Aerococcus_urinaehominis	Aerococcus_urinae	2	s__Aerococcus urinaehominis	s__Aerococcus_urinaehominis-t__SGB7889						
SGB41	Agathobacter_faecis	Roseburia_hominis	1	s__Agathobacter faecis	s__Roseburia_faecis-t__SGB4925						
SGB198	Agathobacter_rectale	Eubacterium_rectale	1	s__Agathobacter rectale	s__Eubacterium_rectale-t__SGB4933						
