old_num	new_num
SGB19-MERGED-SGB450-MERGED-SGB685	SGB001
SGB459	SGB002
SGB458	SGB003
SGB711	SGB004
SGB570	SGB005
SGB717	SGB006
SGB161	SGB007
SGB160	SGB008
SGB163	SGB009
SGB162	SGB010
SGB165	SGB011
SGB164	SGB012
SGB167	SGB013
SGB166	SGB014
SGB168	SGB015
SGB248	SGB016
SGB249	SGB017
SGB240	SGB018
SGB241	SGB019
SGB242	SGB020
SGB243	SGB021
SGB244	SGB022
SGB245	SGB023
SGB246	SGB024
SGB247	SGB025
SGB565	SGB026
SGB719	SGB027
SGB567	SGB028
SGB566	SGB029
SGB648	SGB030
SGB645	SGB031
SGB647	SGB032
SGB640	SGB033
SGB641	SGB034
SGB642	SGB035
SGB643	SGB036
SGB425	SGB037
SGB426	SGB038
SGB427	SGB039
SGB420	SGB040
SGB388	SGB041
SGB558	SGB042
SGB384	SGB043
SGB387	SGB044
SGB381	SGB045
SGB383	SGB046
SGB382	SGB047
SGB545	SGB048
SGB544	SGB049
SGB543	SGB050
SGB541	SGB051
SGB540	SGB052
SGB52	SGB053
SGB53	SGB054
SGB50	SGB055
SGB51	SGB056
SGB56	SGB057
SGB57	SGB058
SGB55	SGB059
SGB224-MERGED-SGB546	SGB060
SGB58	SGB061
SGB59	SGB062
SGB568	SGB063
SGB491	SGB064
SGB490	SGB065
SGB493	SGB066
SGB492	SGB067
SGB495	SGB068
SGB494	SGB069
SGB497	SGB070
SGB496	SGB071
SGB499	SGB072
SGB498	SGB073
SGB330	SGB074
SGB331	SGB075
SGB332	SGB076
SGB333	SGB077
SGB334	SGB078
SGB335	SGB079
SGB336	SGB080
SGB152-MERGED-SGB210	SGB081
SGB339	SGB082
SGB681	SGB083
SGB110-MERGED-SGB577	SGB084
SGB521	SGB085
SGB208	SGB086
SGB209	SGB087
SGB204	SGB088
SGB205	SGB089
SGB206	SGB090
SGB200	SGB091
SGB201	SGB092
SGB202	SGB093
SGB203	SGB094
SGB118	SGB095
SGB119	SGB096
SGB465-MERGED-SGB701	SGB097
SGB729	SGB098
SGB728	SGB099
SGB723	SGB100
SGB722	SGB101
SGB523	SGB102
SGB720	SGB103
SGB727	SGB104
SGB724	SGB105
SGB503	SGB106
SGB502	SGB107
SGB501	SGB108
SGB500	SGB109
SGB507	SGB110
SGB506	SGB111
SGB504	SGB112
SGB509	SGB113
SGB508	SGB114
SGB293	SGB115
SGB292	SGB116
SGB291	SGB117
SGB290	SGB118
SGB295	SGB119
SGB294	SGB120
SGB522	SGB121
SGB111	SGB122
SGB112	SGB123
SGB113	SGB124
SGB114	SGB125
SGB299	SGB126
SGB116	SGB127
SGB117	SGB128
SGB298	SGB129
SGB617	SGB130
SGB616	SGB131
SGB615	SGB132
SGB598	SGB133
SGB599	SGB134
SGB611	SGB135
SGB610	SGB136
SGB127-MERGED-SGB78	SGB137
SGB595	SGB138
SGB596	SGB139
SGB597	SGB140
SGB619	SGB141
SGB593	SGB142
SGB374	SGB143
SGB375	SGB144
SGB622	SGB145
SGB377	SGB146
SGB370	SGB147
SGB371	SGB148
SGB372	SGB149
SGB373	SGB150
SGB378	SGB151
SGB379	SGB152
SGB576	SGB153
SGB574	SGB154
SGB575	SGB155
SGB524	SGB156
SGB573	SGB157
SGB479	SGB158
SGB478	SGB159
SGB477	SGB160
SGB476	SGB161
