GCF_003469635.1_ASM346963v1_genomic	SGB516	Parabacteroides_merdae
GCF_008571435.1_ASM857143v1_genomic	SGB517	Bacteroides_finegoldii
SAMN04958300	SGB401	Listeria_monocytogenes
SAMN04958301	SGB401	Listeria_monocytogenes
SAMN04958302	SGB401	Listeria_monocytogenes
SAMN04958303	SGB401	Listeria_monocytogenes
SAMN04958304	SGB401	Listeria_monocytogenes
SAMN04958305	SGB401	Listeria_monocytogenes
SAMN04958306	SGB401	Listeria_monocytogenes
SAMN04958307	SGB401	Listeria_monocytogenes
SAMN04958308	SGB401	Listeria_monocytogenes
SAMN04958309	SGB401	Listeria_monocytogenes
SAMN06645327	SGB506	Staphylococcus_lugdunensis
GCF_003203175.1_ASM320317v1_genomic	SGB511	Haemophilus_influenzae
GCF_900201995.1_R372_genomic	SGB513	Neisseria_gonorrhoeae
SAMD00015865	SGB514	Prevotella_corporis
SAMN08895436	SGB232	Aerococcus_urinae
SAMN08895437	SGB232	Aerococcus_urinae
SAMN08895438	SGB232	Aerococcus_urinae
SAMN08895439	SGB232	Aerococcus_urinae
GCF_000615365.1_ASM61536v1_genomic	SGB391	Lactobacillus_sakei
SAMN04599932	SGB401	Listeria_monocytogenes
GCF_001349075.1_6714_4_1_genomic	SGB513	Neisseria_gonorrhoeae
SAMN05413859	SGB603	Enterococcus_faecium
SAMN05413858	SGB603	Enterococcus_faecium
SAMN05413853	SGB603	Enterococcus_faecium
SAMN05413852	SGB603	Enterococcus_faecium
SAMN05413851	SGB603	Enterococcus_faecium
SAMN05413850	SGB603	Enterococcus_faecium
GCF_001637565.1_ASM163756v1_genomic	SGB604	Janibacter
SAMN05413856	SGB603	Enterococcus_faecium
SAMN05413855	SGB603	Enterococcus_faecium
SAMN05413854	SGB603	Enterococcus_faecium
SAMN04955242	SGB602	Lactococcus_lactis
GCF_000795505.1_AZPAE13858_genomic	SGB359	Pseudomonas_aeruginosa
0422_293_1_1_MRS7_S392-bin_2	SGB600	Lactobacillus_jensenii
SAMN02850699	SGB401	Listeria_monocytogenes
SAMN02850697	SGB401	Listeria_monocytogenes
GCF_001450825.1_WH-SGI-V-07371_genomic	SGB359	Pseudomonas_aeruginosa
SAMEA1031419	SGB601	Streptococcus_agalactiae
SAMEA1031418	SGB601	Streptococcus_agalactiae
SAMEA1031417	SGB601	Streptococcus_agalactiae
SAMEA1031416	SGB601	Streptococcus_agalactiae
SAMEA1031415	SGB601	Streptococcus_agalactiae
SAMEA1031414	SGB601	Streptococcus_agalactiae
SAMEA1031413	SGB598	Streptococcus_pyogenes
SAMEA1031412	SGB601	Streptococcus_agalactiae
SAMN02741503	SGB401	Listeria_monocytogenes
SAMN04417888	SGB401	Listeria_monocytogenes
GCF_001990335.1_ASM199033v1_genomic	SGB359	Pseudomonas_aeruginosa
SAMN02604342	SGB401	Listeria_monocytogenes
SAMN03921941	SGB599	Bacteroides_fragilis
GCF_002738185.1_ASM273818v1_genomic	SGB597	Serratia_ureilytica
C0140A4	SGB001	Lactobacillus_gasseri
C0140A5	SGB001	Lactobacillus_gasseri
MG_199199_bin_77	SGB182	Actinotignum_sanguinis
C0140A3	SGB001	Lactobacillus_gasseri
C0140A1	SGB001	Lactobacillus_gasseri
MG_199199_bin_78	SGB181	noRef
GCF_004347575.1_ASM434757v1_genomic	SGB180	Bacteroides_dorei
0055_051_1_3_LKV3_S818-bin_1	SGB179	Bacteroides_ovatus
GCF_001092105.1_6731_8_2_genomic	SGB513	Neisseria_gonorrhoeae
GCF_001454705.1_WH-SGI-V-07302_genomic	SGB359	Pseudomonas_aeruginosa
GCF_000401595.1_ASM40159v1_genomic	SGB185	Staphylococcus_aureus
SAMN03800285	SGB401	Listeria_monocytogenes
SAMEA1690324	SGB513	Neisseria_gonorrhoeae
SAMEA1690325	SGB513	Neisseria_gonorrhoeae
SAMN03800280	SGB401	Listeria_monocytogenes
SAMN03800281	SGB401	Listeria_monocytogenes
SAMEA1690320	SGB513	Neisseria_gonorrhoeae
SAMN03800283	SGB401	Listeria_monocytogenes
SAMN03800288	SGB401	Listeria_monocytogenes
SAMN03800289	SGB401	Listeria_monocytogenes
SAMEA1690329	SGB513	Neisseria_gonorrhoeae
GCF_000027305.1_ASM2730v1_genomic	SGB511	Haemophilus_influenzae
GCF_000554185.1_Stap_aure_M0283_V1_genomic	SGB185	Staphylococcus_aureus
GCF_900200755.1_B245_genomic	SGB513	Neisseria_gonorrhoeae
GCF_000573805.1_Stap_aure_M1283_V1_genomic	SGB185	Staphylococcus_aureus
GCF_000820805.1_PAWS136_genomic	SGB359	Pseudomonas_aeruginosa
SAMN02299490	SGB603	Enterococcus_faecium
SAMN02299491	SGB603	Enterococcus_faecium
SAMN02299492	SGB603	Enterococcus_faecium
SAMN02299493	SGB603	Enterococcus_faecium
SAMN02299494	SGB603	Enterococcus_faecium
SAMN02299495	SGB603	Enterococcus_faecium
SAMN02299496	SGB603	Enterococcus_faecium
SAMN02299497	SGB603	Enterococcus_faecium
SAMN02299498	SGB603	Enterococcus_faecium
SAMN02299499	SGB603	Enterococcus_faecium
