SGB001	C0140A4
SGB002	GCA_000375645.1_ASM37564v1_genomic
SGB003	SAMN00001907
SGB004	SAMN06245885
SGB005	SAMN02850930
SGB006	MG_4004001329_bin_18
SGB007	SAMN08623837
SGB008	GCF_003854505.1_ASM385450v1_genomic
SGB009	SAMN09736997
SGB010	SAMN04320708
SGB011	SAMN04325048
SGB012	GCF_003458745.1_ASM345874v1_genomic
SGB013	GCA_003240765.1_ASM324076v1_genomic
SGB014	GCF_002093515.1_ASM209351v1_genomic
SGB015	SAMN03737995
SGB016	GCF_004168145.1_ASM416814v1_genomic
SGB017	GCF_002861385.1_ASM286138v1_genomic
SGB018	SAMD00008982
SGB019	SAMN03455988
SGB020	C0115B5
SGB021	C0009A1
SGB022	GCF_003438135.1_ASM343813v1_genomic
SGB023	GCF_902363645.1_MGYG-HGUT-00138_genomic
SGB024	GCF_001618075.1_ASM161807v1_genomic
SGB025	GCF_004355165.1_ASM435516v1_genomic
SGB026	GCF_001073085.1
SGB027	SAMN10478681
SGB028	SAMN06705598
SGB029	SAMN06705599
SGB030	GCF_001052195.1_ASM105219v1_genomic
SGB031	GCF_002159625.1_ASM215962v1_genomic
SGB032	0756_546_1_1_LKV4_S389-bin_1
SGB033	MG_224410_bin_9
SGB034	GCA_002884975.1_ASM288497v1_genomic
SGB035	GCF_004295485.1_ASM429548v1_genomic
SGB036	GCF_001059185.1_ASM105918v1_genomic
SGB037	GCF_001578945.1_ASM157894v1_genomic
SGB038	SAMEA3466598
SGB039	SAMEA3594359
SGB040	GCF_900638025.1_55312_D01_genomic
SGB041	GCF_001293125.1_ASM129312v1_genomic
SGB042	GCF_000420105.1_ASM42010v1_genomic
SGB043	GCA_002224675.1_ASM222467v1_genomic
SGB044	SAMN05420409
SGB045	GCF_000156595.1_ASM15659v1_genomic
SGB046	SAMEA2272686
SGB047	MG_4005701249_bin_19
SGB048	GCF_900119385.1_PRJEB17947_genomic
SGB049	SAMN00000002
SGB050	MG_4005701249_bin_32
SGB051	MG_4008801239_bin_14
SGB052	SAMN00100756
SGB053	SAMN02442661
SGB054	GCF_001437195.1_ASM143719v1_genomic
SGB055	GCF_000160535.1_ASM16053v1_genomic
SGB056	GCA_002885465.1_ASM288546v1_genomic
SGB057	GCF_000758185.1_LTH5448_genomic
SGB058	GCF_002096415.1_ASM209641v1_genomic
SGB059	SAMN09582630
SGB060	MG_192686_bin_5
SGB061	C0001D5
SGB062	NZ_SEST01000002.1
SGB063	GCF_004127945.1_ASM412794v1_genomic
SGB064	SAMN02836936
SGB065	GCF_001072315.1_ASM107231v1_genomic
SGB066	SAMN02463725
SGB067	SAMN02836938
SGB068	C0059F3
SGB069	GCF_001428305.1_Soil728_genomic
SGB070	SAMN08193645
SGB071	GCF_000524335.1_OulMSTE5v1.0_genomic
SGB072	GCF_900119625.1_IMG-taxon_2606217754_annotated_assembly_genomic
SGB073	SAMN10250233
SGB074	GCF_003468205.1_ASM346820v1_genomic
SGB075	MG_4008501299_bin_45
SGB076	GCA_003439165.1_ASM343916v1_genomic
SGB077	C0041D1
SGB078	SAMN02850926
SGB079	SAMN04634051
SGB080	C0165F4
SGB081	SRR6748212_bin_6
SGB082	SAMN06769904
SGB083	MG_185275_bin_6
SGB084	SAMN03842091
SGB085	GCA_900173815
SGB086	GCF_001072925.1
SGB087	GCF_000422085.1_ASM42208v1_genomic
SGB088	GCF_900077305.1_12045_4_1_genomic
SGB089	GCF_900078165.1_11983_7_53_genomic
SGB090	SAMN09867181
SGB091	GCF_000221545.1_ASM22154v1_genomic
SGB092	SAMN02469329
SGB093	SAMN02469324
SGB094	GCF_001663115.1_ASM166311v1_genomic
SGB095	SAMN05185374
SGB096	MG_205763_bin_34
SGB097	SAMEA17756668
SGB098	GCF_900478395.1_32135_B01_genomic
SGB099	0861_630_1_1_BHK6_S439-bin_1
SGB100	SAMN03770951
SGB101	GCF_900156955.1_Kh17_genomic
SGB102	MG_4008801239_bin_4
SGB103	GCF_002159495.1_ASM215949v1_genomic
SGB104	SAMN03010508
SGB105	SAMN04488242
SGB106	SAMN00003363
SGB107	MG_199199_bin_69
SGB108	MG_199199_bin_68
SGB109	MG_199199_bin_66
SGB110	SAMEA4535753
SGB111	GCF_001578855.1_ASM157885v1_genomic
SGB112	GCA_000770195.1_ASM77019v1_genomic
SGB113	GCF_900128445.1_PRJEB18031_genomic
SGB114	MG_4008301269_bin_1
SGB115	SAMN02436562
SGB116	GCF_000186425.1_ASM18642v1_genomic
SGB117	GCF_000233535.1_Olsenella_sp_F0356_V1_genomic
SGB118	GCF_000195615.1_ASM19561v1_genomic
SGB119	GCF_900604965.1_PRJEB25876_genomic
SGB120	GCF_902374495.1_MGYG-HGUT-01391_genomic
SGB121	SAMN00000628
SGB122	SAMN05425708
SGB123	SAMN00808888
SGB124	SAMN02436279
SGB125	SAMN02436277
SGB126	GCF_000411135.1_Acti_scha_FB123-CNA2_V1_genomic
SGB127	GCF_001598675.1_ASM159867v1_genomic
SGB128	SAMN04324612
SGB129	SAMN02436910
SGB130	MG_199199_bin_45
SGB131	SAMN08395893
SGB132	SAMN06368306
SGB133	SAMN02850943
SGB134	GCF_900176385.1_IMG-taxon_2718217638_annotated_assembly_genomic
SGB135	SAMN04487985
SGB136	SAMN03956212
SGB137	SAMN04014465
SGB138	GCA_001602195.1_ASM160219v1_genomic
SGB139	GCF_006175905.1_ASM617590v1_genomic
SGB140	SAMN02850946
SGB141	MG_199199_bin_48
SGB142	SAMN06812618
SGB143	SAMN10375220
SGB144	GCA_900184965.1_Mouse_2_MG
SGB145	MG_198301_bin_15
SGB146	MG_199199_bin_80
SGB147	GCF_000301055.1_Fack_igna_CCUG_37419_V1_genomic
SGB148	SAMN02850960
SGB149	MG_226813_bin_25
SGB150	GCF_000259485.1_HparainfluenzaeHK262v1.0_genomic
SGB151	GCF_000223315.1_ASM22331v1_genomic
