SGB053	s__Streptococcus thermophilus
SGB531	s__Lachnoanaerobaculum saburreum_A
SGB341	GTDB-new
SGB409	s__Staphylococcus haemolyticus
SGB055	s__Prevotella bergensis
SGB026	s__Streptococcus pseudopneumoniae_M
SGB452	s__Fusobacterium animalis
SGB373	s__Lactobacillus_F pentosus
SGB162	s__Olsenella_E sp002160255
SGB607	s__Olsenella profusa
SGB092	s__Fusobacterium vincentii
SGB596	s__Listeria innocua
SGB166	s__Bifidobacterium scardovii
SGB415	s__Lactobacillus gasseri_A
SGB188	s__Streptococcus oralis_C
SGB578	s__Peptoniphilus_B duerdenii
SGB394	s__Prevotella colorans
SGB333	GTDB-new
SGB350	s__Tessaracoccus bendigoensis
SGB438	s__Fannyhessea vaginae
SGB491	s__Streptococcus gallolyticus
SGB602	s__Lactococcus lactis_E
SGB420	s__Bifidobacterium vaginale_A
SGB051	GTDB-new
SGB599	s__Bacteroides fragilis
SGB079	s__Enterococcus_D sp002850555
SGB431	s__Enterobacter cloacae_H
SGB385	s__Ruminococcus_E bromii_A
SGB537	s__Serratia marcescens_F
SGB180	s__Bacteroides_B dorei
SGB449	s__Burkholderia pseudomultivorans
SGB265	s__Bifidobacterium bifidum
SGB177	GTDB-new
SGB104	s__Bacillus amyloliquefaciens
SGB360	s__Bacteroides thetaiotaomicron
SGB403	GTDB-new
SGB116	s__Lautropia mirabilis
SGB319	s__Janibacter hoylei
SGB338	GTDB-new
SGB121	s__Corynebacterium pseudogenitalium
SGB288	s__Enterobacter cloacae_M
SGB125	s__Clostridium_P perfringens
SGB291	s__Streptococcus pseudopneumoniae_N
SGB198	s__Lactobacillus jensenii_A
SGB372	GTDB-new
SGB572	s__Collinsella aerofaciens
SGB039	s__Streptococcus acidominimus
SGB582	s__Providencia rettgeri_D
SGB019	s__Citrobacter braakii
SGB217	s__Pauljensenia hongkongensis
SGB077	s__Fenollaria massiliensis
SGB052	s__Aerococcus urinae_A
SGB509	GTDB-new
SGB196	s__Janibacter corallicola
SGB307	s__Citrobacter_A amalonaticus_C
SGB181	GTDB-new
SGB070	s__Pseudoglutamicibacter cumminsii
SGB569	s__Mobiluncus mulieris
SGB543	GTDB-new
SGB551	s__Butyrivibrio_A crossotus
SGB536	GTDB-new
SGB439	s__Prevotella nanceiensis
SGB448	s__Enterobacter ludwigii
SGB527	s__Bacillus_E coagulans
SGB150	s__Haemophilus_D parainfluenzae
SGB330	s__Jonquetella anthropi
SGB331	s__Levyella massiliensis
SGB353	s__Alistipes finegoldii
SGB202	GTDB-new
SGB110	s__Peptoniphilus_A harei
SGB012	s__Coprococcus eutactus
SGB260	s__Streptococcus mitis_N
SGB564	s__Arcanobacterium_A sp000758825
SGB067	s__Streptococcus mitis_P
SGB595	s__Streptococcus hyovaginalis
SGB390	s__Gleimia europaea_A
SGB062	s__Escherichia coli
SGB345	GTDB-new
SGB118	s__Bacteroides clarus
SGB102	s__Corynebacterium phoceense
SGB275	s__Corynebacterium amycolatum
SGB362	GTDB-new
SGB078	s__Anaerococcus lactolyticus
SGB087	s__Serratia liquefaciens
SGB433	s__Olsenella_C umbonata
SGB302	s__Faecalibacterium prausnitzii_F
SGB335	s__Burkholderia seminalis
SGB473	s__Anaerococcus hydrogenalis
SGB242	s__Bifidobacterium infantis
SGB456	GTDB-new
SGB284	s__Streptococcus salivarius
SGB416	s__Fannyhessea vaginae
SGB084	s__Anaerococcus tetradius
SGB586	s__Corynebacterium sp001807485
SGB001	s__Lactobacillus gasseri
SGB120	s__Coprobacter fastidiosus
SGB535	s__Lactobacillus_G raoultii
SGB487	s__Streptococcus oralis
SGB141	GTDB-new
SGB060	s__Corynebacterium coyleae
SGB489	s__Haemophilus haemolyticus
SGB490	s__Streptococcus sanguinis
SGB540	GTDB-new
SGB143	s__Bacillus licheniformis_A
SGB252	GTDB-new
SGB575	s__Actinotignum schaalii
SGB172	s__Tessaracoccus sp001956895
SGB343	s__Burkholderia cenocepacia
SGB445	s__Streptococcus mitis_AR
SGB241	s__Propionimicrobium sp900155645
SGB494	GTDB-new
SGB538	s__Citrobacter europaeus
SGB398	s__Anaerococcus prevotii
SGB031	s__Olsenella_E sp002159625
SGB290	s__Veillonella parvula_A
SGB597	s__Serratia marcescens_I
SGB313	s__Corynebacterium kroppenstedtii_A
SGB251	s__Gemella haemolysans
SGB159	s__Tessaracoccus massiliensis
SGB297	GTDB-new
SGB577	s__Staphylococcus warneri
