GCF_003469635.1_ASM346963v1_genomic	SGB1
GCF_008571435.1_ASM857143v1_genomic	SGB2
SAMN04958300	SGB3
SAMN04958301	SGB3
SAMN04958302	SGB3
SAMN04958303	SGB3
SAMN04958304	SGB3
SAMN04958305	SGB3
SAMN04958306	SGB3
SAMN04958307	SGB3
SAMN04958308	SGB3
SAMN04958309	SGB3
SAMN06645327	SGB4
GCF_003203175.1_ASM320317v1_genomic	SGB5
GCF_900201995.1_R372_genomic	SGB6
SAMD00015865	SGB7
SAMN08895436	SGB440-MERGED-SGB8
SAMN08895437	SGB440-MERGED-SGB8
SAMN08895438	SGB440-MERGED-SGB8
SAMN08895439	SGB440-MERGED-SGB8
GCF_000615365.1_ASM61536v1_genomic	SGB9
SAMN04599932	SGB3
GCF_001349075.1_6714_4_1_genomic	SGB6
SAMN05413859	SGB10
SAMN05413858	SGB10
SAMN05413853	SGB10
SAMN05413852	SGB10
SAMN05413851	SGB10
SAMN05413850	SGB10
GCF_001637565.1_ASM163756v1_genomic	SGB11
SAMN05413856	SGB10
SAMN05413855	SGB10
SAMN05413854	SGB10
SAMN04955242	SGB12
GCF_000795505.1_AZPAE13858_genomic	SGB13-MERGED-SGB172
0422_293_1_1_MRS7_S392-bin_2	SGB14
SAMN02850699	SGB3
SAMN02850697	SGB3
GCF_001450825.1_WH-SGI-V-07371_genomic	SGB13-MERGED-SGB172
SAMEA1031419	SGB15
SAMEA1031418	SGB15
SAMEA1031417	SGB15
SAMEA1031416	SGB15
SAMEA1031415	SGB15
SAMEA1031414	SGB15
SAMEA1031413	SGB16
SAMEA1031412	SGB15
SAMN02741503	SGB3
SAMN04417888	SGB3
GCF_001990335.1_ASM199033v1_genomic	SGB13-MERGED-SGB172
SAMN02604342	SGB3
SAMN03921941	SGB17
GCF_002738185.1_ASM273818v1_genomic	SGB18
C0140A4	SGB19-MERGED-SGB450-MERGED-SGB685
C0140A5	SGB19-MERGED-SGB450-MERGED-SGB685
MG_199199_bin_77	SGB20
C0140A3	SGB19-MERGED-SGB450-MERGED-SGB685
C0140A1	SGB19-MERGED-SGB450-MERGED-SGB685
GCF_004347575.1_ASM434757v1_genomic	SGB22
0055_051_1_3_LKV3_S818-bin_1	SGB23
GCF_001092105.1_6731_8_2_genomic	SGB6
GCF_001454705.1_WH-SGI-V-07302_genomic	SGB13-MERGED-SGB172
GCF_000401595.1_ASM40159v1_genomic	SGB24
SAMN03800285	SGB3
SAMEA1690324	SGB6
SAMEA1690325	SGB6
SAMN03800280	SGB3
SAMN03800281	SGB3
SAMEA1690320	SGB6
SAMN03800283	SGB3
SAMN03800288	SGB3
SAMN03800289	SGB3
SAMEA1690329	SGB6
GCF_000027305.1_ASM2730v1_genomic	SGB5
GCF_000554185.1_Stap_aure_M0283_V1_genomic	SGB24
GCF_900200755.1_B245_genomic	SGB6
GCF_000573805.1_Stap_aure_M1283_V1_genomic	SGB24
GCF_000820805.1_PAWS136_genomic	SGB13-MERGED-SGB172
SAMN02299490	SGB10
SAMN02299491	SGB10
SAMN02299492	SGB10
SAMN02299493	SGB10
SAMN02299494	SGB10
SAMN02299495	SGB10
SAMN02299496	SGB10
SAMN02299497	SGB10
SAMN02299498	SGB10
SAMN02299499	SGB10
GCF_003490825.1_ASM349082v1_genomic	SGB6
GCF_000793745.1_AZPAE14920_genomic	SGB13-MERGED-SGB172
GCF_000532695.1_Stap_aure_M1134_V1_genomic	SGB24
GCF_003724715.1_INS-Nm1170_genomic	SGB6
GCF_003494495.1_ASM349449v1_genomic	SGB5
SAMEA1876776	SGB16
GCF_000797345.1_AZPAE14711_genomic	SGB13-MERGED-SGB172
GCF_003935225.1_ASM393522v1_genomic	SGB18
GCF_000240665.1_ASM24066v2_genomic	SGB6
GCF_000605805.1_Stap_aure_T83543_V1_genomic	SGB24
SAMN03325972	SGB25
GCF_000359965.1_Stap_aure_M0006_V1_genomic	SGB24
SAMN09435199	SGB10
0809_588_1_1_MRSIHK9_S788-bin_1	SGB26-MERGED-SGB655
SAMN09435192	SGB10
SAMN09435191	SGB10
SAMN09435196	SGB10
SAMN09435197	SGB10
SAMN09435194	SGB10
GCF_009024805.1_ASM902480v1_genomic	SGB27
GCF_003060705.1_ASM306070v1_genomic	SGB28
CM_B04_S794-bin_1	SGB213-MERGED-SGB29-MERGED-SGB85
GCF_000549565.1_Stap_aure_M1349_V1_genomic	SGB24
GCF_001055095.1_ASM105509v1_genomic	SGB30
GCF_001294565.1_ASM129456v1_genomic	SGB18
GCF_000558065.1_Stap_aure_M0607_V1_genomic	SGB24
GCF_004368725.1_ASM436872v1_genomic	SGB31
GCF_000548565.1_Stap_aure_M1416_V1_genomic	SGB24
GCF_000604545.1_Stap_aure_M32669_V1_genomic	SGB24
GCF_003496895.1_ASM349689v1_genomic	SGB5
GCF_000607045.1_Stap_aure_W75262_V1_genomic	SGB24
SAMN04283650	SGB32
SAMN09631734	SGB33
SAMN09631735	SGB34
SAMN09631737	SGB35
SAMN09631730	SGB36
SAMN09631731	SGB37
SAMN09631732	SGB38
SAMN09631733	SGB39
GCF_001992915.1_ASM199291v1_genomic	SGB31
GCF_002266405.1_ASM226640v1_genomic	SGB40
GCF_000596345.1_Stap_aure_DAR5863_V1_genomic	SGB24
SAMN03197926	SGB26-MERGED-SGB655
GCF_900035265.1_14412_4_20_genomic	SGB5
SAMEA864240	SGB16
SAMEA864241	SGB16
SAMEA864242	SGB16
SAMEA864243	SGB16
SAMEA864244	SGB16
GCF_900407525.1_PTHi-12411_genomic	SGB5
GCF_005845255.1_ASM584525v1_genomic	SGB41
GCF_000603145.1_Stap_aure_H47139_V1_genomic	SGB24
SAMEA864248	SGB16
SAMEA864249	SGB16
GCF_002096535.1_ASM209653v1_genomic	SGB42
GCA_900173245	SGB43
SAMN03217754	SGB44
GCF_003842385.1_INS-Nm1078_genomic	SGB6
GCF_000163095.1_ASM16309v1_genomic	SGB45
GCF_000949245.1_SG099Q_genomic	SGB46
SAMN02325127	SGB26-MERGED-SGB655
GCF_001623955.1_ASM162395v1_genomic	SGB13-MERGED-SGB172
GCF_000555825.1_Stap_aure_M0420_V1_genomic	SGB24
GCF_002987585.1_ASM298758v1_genomic	SGB5
GCF_003942405.1_ASM394240v1_genomic	SGB47
GCF_900199935.1_B114_genomic	SGB6
GCF_000796585.1_AZPAE12137_genomic	SGB13-MERGED-SGB172
GCA_000738255.1_Cj21382_genomic	SGB48
GCF_003958295.1_ASM395829v1_genomic	SGB18
SAMN09273503	SGB10
GCF_001594325.2_ASM159432v2_genomic	SGB13-MERGED-SGB172
SAMN09273504	SGB10
SAMN09273507	SGB10
SAMN09273506	SGB10
