GCF_003469635.1_ASM346963v1_genomic	SGB516
GCF_008571435.1_ASM857143v1_genomic	SGB517
SAMN04958300	SGB401
SAMN04958301	SGB401
SAMN04958302	SGB401
SAMN04958303	SGB401
SAMN04958304	SGB401
SAMN04958305	SGB401
SAMN04958306	SGB401
SAMN04958307	SGB401
SAMN04958308	SGB401
SAMN04958309	SGB401
SAMN06645327	SGB506
GCF_003203175.1_ASM320317v1_genomic	SGB511
GCF_900201995.1_R372_genomic	SGB513
SAMD00015865	SGB514
SAMN08895436	SGB232
SAMN08895437	SGB232
SAMN08895438	SGB232
SAMN08895439	SGB232
GCF_000615365.1_ASM61536v1_genomic	SGB391
SAMN04599932	SGB401
GCF_001349075.1_6714_4_1_genomic	SGB513
SAMN05413859	SGB603
SAMN05413858	SGB603
SAMN05413853	SGB603
SAMN05413852	SGB603
SAMN05413851	SGB603
SAMN05413850	SGB603
GCF_001637565.1_ASM163756v1_genomic	SGB604
SAMN05413856	SGB603
SAMN05413855	SGB603
SAMN05413854	SGB603
SAMN04955242	SGB602
GCF_000795505.1_AZPAE13858_genomic	SGB359
0422_293_1_1_MRS7_S392-bin_2	SGB600
SAMN02850699	SGB401
SAMN02850697	SGB401
GCF_001450825.1_WH-SGI-V-07371_genomic	SGB359
SAMEA1031419	SGB601
SAMEA1031418	SGB601
SAMEA1031417	SGB601
SAMEA1031416	SGB601
SAMEA1031415	SGB601
SAMEA1031414	SGB601
SAMEA1031413	SGB598
SAMEA1031412	SGB601
SAMN02741503	SGB401
SAMN04417888	SGB401
GCF_001990335.1_ASM199033v1_genomic	SGB359
SAMN02604342	SGB401
SAMN03921941	SGB599
GCF_002738185.1_ASM273818v1_genomic	SGB597
C0140A4	SGB001
C0140A5	SGB001
MG_199199_bin_77	SGB182
C0140A3	SGB001
C0140A1	SGB001
MG_199199_bin_78	SGB181
GCF_004347575.1_ASM434757v1_genomic	SGB180
0055_051_1_3_LKV3_S818-bin_1	SGB179
GCF_001092105.1_6731_8_2_genomic	SGB513
GCF_001454705.1_WH-SGI-V-07302_genomic	SGB359
GCF_000401595.1_ASM40159v1_genomic	SGB185
SAMN03800285	SGB401
SAMEA1690324	SGB513
SAMEA1690325	SGB513
SAMN03800280	SGB401
SAMN03800281	SGB401
SAMEA1690320	SGB513
SAMN03800283	SGB401
SAMN03800288	SGB401
SAMN03800289	SGB401
SAMEA1690329	SGB513
GCF_000027305.1_ASM2730v1_genomic	SGB511
GCF_000554185.1_Stap_aure_M0283_V1_genomic	SGB185
GCF_900200755.1_B245_genomic	SGB513
GCF_000573805.1_Stap_aure_M1283_V1_genomic	SGB185
GCF_000820805.1_PAWS136_genomic	SGB359
SAMN02299490	SGB603
SAMN02299491	SGB603
SAMN02299492	SGB603
SAMN02299493	SGB603
SAMN02299494	SGB603
SAMN02299495	SGB603
SAMN02299496	SGB603
SAMN02299497	SGB603
SAMN02299498	SGB603
SAMN02299499	SGB603
GCF_003490825.1_ASM349082v1_genomic	SGB513
GCF_000793745.1_AZPAE14920_genomic	SGB359
