MG_175836_bin_36	2.6143	SGB078	Anaerococcus_lactolyticus	North_America	H	P
E3_1733_1310_1_BDMRSCQ18_S149-bin_1-SPLIT	2.58115	SGB174	Staphylococcus_simulans	South_Africa	Af	N
MG_4004001329_bin_14	4.05854	SGB369	Veillonella_atypica	North_America	NA	P
0055_051_1_3_LKV3_S818-bin_1	0.680395	SGB179	Bacteroides_ovatus	South_Africa	Af	N
0055_051_1_3_LKV5_S826-bin_1	0.715996	SGB179	Bacteroides_ovatus	South_Africa	Af	N
0055_051_1_3_LKV1_S810-bin_1	0.628226	SGB179	Bacteroides_ovatus	South_Africa	Af	N
0055_051_1_4_LKV4_S391-bin_1	0.763299	SGB179	Bacteroides_ovatus	South_Africa	Af	N
JKR_12_29_17_D03_S692-bin_2	3.01881	SGB408	Staphylococcus_hominis	South_Africa	Af	N
JKR_12_29_17_G03_S695-bin_1	0.375609	SGB409	Staphylococcus_haemolyticus	South_Africa	Af	N
JKR_12_29_17_F06_S718-bin_1	0.541137	SGB409	Staphylococcus_haemolyticus	South_Africa	Af	N
JKR_12_29_17_G04_S703-bin_1	0.614558	SGB409	Staphylococcus_haemolyticus	South_Africa	Af	N
C0085B7	0.985499	SGB560	Lactobacillus_salivarius	North_America	AA	P
JKR_P1_19_C03_S691_001-bin_1	1.22141	SGB560	Lactobacillus_salivarius	South_Africa	Af	N
MG_186847_bin_3	2.46831	SGB560	Lactobacillus_salivarius	North_America	H	P
MG_189598_bin_25	2.46043	SGB562	uSGB	North_America	AA	P
I2_bin_2	1.98862	SGB562	uSGB	North_America	W	M
MG_185275_bin_13	3.05785	SGB562	uSGB	North_America	AA	P
MG_185475_bin_22	1.51872	SGB562	uSGB	North_America	AA	P
MG_177947_bin_8	3.04804	SGB562	uSGB	North_America	AA	P
MG_222476_bin_5	2.79555	SGB562	uSGB	North_America	AA	P
MG_198165_bin_20	1.81313	SGB562	uSGB	North_America	AA	P
MG_205819_bin_20	2.17093	SGB562	uSGB	North_America	AA	P
MG_205281_bin_6	1.89299	SGB562	uSGB	North_America	AA	P
MG_205081_bin_18	1.74761	SGB562	uSGB	North_America	AA	P
MG_189662_bin_34	1.70111	SGB562	uSGB	North_America	AA	P
MG_205763_bin_7	2.05456	SGB562	uSGB	North_America	AA	P
SRS011111_bin_14	1.5943	SGB562	uSGB	North_America	NA	N
MG_4008801269_bin_3	3.60949	SGB562	uSGB	North_America	NA	P
MG_222388_bin_5	1.84352	SGB562	uSGB	North_America	AA	P
A3_bin_4	2.59767	SGB562	uSGB	North_America	W	M
SRS052859_bin_11	2.18499	SGB562	uSGB	North_America	NA	N
MG_4008501299_bin_7	1.98862	SGB562	uSGB	North_America	NA	P
02361821_bin_3	2.03459	SGB562	uSGB	South_Africa	Af	N
MG_4008501249_bin_26	1.91181	SGB562	uSGB	North_America	NA	P
MG_205209_bin_9	1.7359	SGB562	uSGB	North_America	AA	P
I3_bin_3	2.94234	SGB562	uSGB	North_America	W	M
MG_226813_bin_15	1.91812	SGB275	Corynebacterium_amycolatum	North_America	W	P
MG_194122_bin_2	2.16393	SGB275	Corynebacterium_amycolatum	North_America	AA	P
